Topic,Raw Count,Appearance Percentage
 branch branches secretary operatives,1,2.5
 war peace hope future,1,2.5
 rates prices fund dividend,1,2.5
 league federation league nations nations,1,2.5
 man work wife week,1,2.5
 union trade unions employers,1,2.5
 th month day month latest,1,2.5
 daily herald daily herald paper,1,2.5
 repairing repairers department accident,1,2.5
 union trade unions unemployment,1,2.5
 mr hm street smith,1,2.5
 men hope time rely,1,2.5
 houses food housing land,1,2.5
 firm members manufacturers firms,1,2.5
 insurance superannuation pensions scheme,1,2.5
 party labour party labour house,1,2.5
 houses housing room rooms,1,2.5
 th february month march,1,2.5
 improvement slight worse slight improvement,1,2.5
 operatives seamen operative discharged,1,2.5
 operatives seamen ship service men,1,2.5
 insurance benefit fund unemployment,1,2.5
 trade bad improvement month,1,2.5
 cost living cost prices rates,1,2.5
 man work did speech,1,2.5
 houses housing rent building,1,2.5
 education school teachers schools,1,2.5
 operatives war service officers,1,2.5
 women girls womens females,1,2.5
 letter general thanks general president,1,2.5
 th week day month,1,2.5
 russia russian german soviet,1,2.5
 labour union trade employers,1,2.5
 men rely correspondents laughter,1,2.5
 conference branch resolution council,1,2.5
 mr poulton hm smith,1,2.5
 insurance superannuation fund pensions,1,2.5
 arbitration insurance strike compensation,1,2.5
 superannuation fund pensions benefit,1,2.5
 operatives general district secretary,1,2.5
 reports report inspectors inspection,1,2.5
 union employers unemployment labour,1,2.5
 conference party labour labour party,1,2.5
 mr street london smith,1,2.5
 industry war government policy,1,2.5
 firm manufacturers federation firms,1,2.5
 ireland scotland irish scottish,1,2.5
 russia league federation league nations,1,2.5
 rates cost living cost living,1,2.5
 operatives service men service discharged,1,2.5
 conference council mr resolution,1,2.5
 trade firm manufacturers board,1,2.5
 fund funds returns dividend,1,2.5
 insurance superannuation pensions benefit,1,2.5
 prices food rates price,1,2.5
 street road street london london,1,2.5
 employment short time short time,1,2.5
 conference resolution council agreement,1,2.5
 war government russia policy,1,2.5
 cent cost living living cost,1,2.5
 hm death females mr,1,2.5
 women womens men womens branch,1,2.5
 firm firms operative society,1,2.5
 houses housing building rooms,1,2.5
 arbitration defendant court board,1,2.5
 unemployment employers wages employment,1,2.5
 conference resolution chairman council,1,2.5
 rates fund prices dividend,1,2.5
 russia league russian league nations,1,2.5
 operatives seamen service officers,1,2.5
 agreement arbitration government agreements,1,2.5
 war movement peace world,1,2.5
 women womens girls labour,1,2.5
 education branch operatives school,1,2.5
 mr secretary poulton government,1,2.5
 war peace future time,1,2.5
 manufacturers industry trade board board,1,2.5
 insurance holiday benefit superannuation,1,2.5
 fund rates cost living cost,1,2.5
 branch operatives branches officers,1,2.5
 hm mr dead females,1,2.5
 education school educational schools,1,2.5
 cent year increase figures,1,2.5
 street road london nearest,1,2.5
 benefit fund pensions superannuation,1,2.5
 members operatives membership seamen,1,2.5
 cent cost living cost increase,1,2.5
 arbitration defendant settlement court,1,2.5
 branch branches central office office,1,2.5
 women men womens girls,1,2.5
 insurance pensions superannuation sick,1,2.5
 report reports inspectors statements,1,2.5
 man work business good,1,2.5
 happy shall happy prominence thanks,1,2.5
 insurance wages benefit superannuation,1,2.5
 leicester street road london,1,2.5
 operatives district members meeting,1,2.5
 death sympathy mr bleakley,1,2.5
 branch war government time,1,2.5
 conference resolution council rule,1,2.5
 fund half funds balance,1,2.5
 arbitration defendant suspension court,1,2.5
 members stamp membership union stamp,1,2.5
 trade bad plymouth trade bad,1,2.5
 conference members committee delegates,1,2.5
 mr leicester london council,1,2.5
 war government great peace,1,2.5
 war policy government movement,1,2.5
 firm firms factory manufacturers,1,2.5
 london street leicester employment,1,2.5
 health insurance tuberculosis treatment,1,2.5
 agreement federation agreements league,1,2.5
 branch members branches membership,1,2.5
 firm leicester norwich employment,1,2.5
 education educational teachers children,1,2.5
 holiday hours day short,1,2.5
 operatives men men rely rely,1,2.5
 houses housing rooms room,1,2.5
 improvement hope future better,1,2.5
 suspended suspension work years,1,2.5
 union labour conference unions,1,2.5
 unemployment hours wages unemployed,1,2.5
 mr hm richards poulton,1,2.5
 leicester mr poulton smith,1,2.5
 hm females mr dead,1,2.5
 league germany federation league nations,1,2.5
 conference resolution delegates council,1,2.5
 rule delete line rates,1,2.5
 members membership new members joined,1,2.5
 union labour employers unemployment,1,2.5
 conference branch delegates members,1,2.5
 mr leicester firm street,1,2.5
 war government nations industry,1,2.5
 insurance sick benefit returns,1,2.5
 men rely rely men errors creep,1,2.5
 tuberculosis health medical treatment,1,2.5
 food agricultural prices average,1,2.5
 operatives seamen ship ex,1,2.5
 happy shall happy prominence trust,1,2.5
 bleakley sympathy death mr bleakley,1,2.5
 holiday returns month th,1,2.5
 arbitration agreement agreements settlement,1,2.5
 street road london kettering,1,2.5
 hm females dead tf,1,2.5
 members membership organisers operative,1,2.5
 branch branches secretary general secretary,1,2.5
 education district teachers schools,1,2.5
 poulton mr smith mr poulton,1,2.5
 conference branch agreement committee,1,2.5
 mr leicester london secretary,1,2.5
 insurance fund benefit sick,1,2.5
 government policy act people,1,2.5
 operatives war russia russian,1,2.5
